HSC,MPP,CMP,GMP,MEP,Erythrocytes,Megakaryocytes,Platelets,B-cells,CD4 T-cells,CD8 T-cells,NK cells,Basophils,Eosinophils,Neutrophils,CD14 Monocytes,CD16 Monocytes,Macrophages,DC,cDC,pDC
,MLC1,NAALADL1,H2AFZ,CDK4,GINS1,,CD160,LY86,TSPYL1,MSL3,BAD,LECT2,HIC1,MED13L,CD33,,CCR1,,,
,OSM,PRTN3,HDC,DDX41,GMNN,,CDK2AP1,PAX5,USP36,NFKB1,CD160,NCR1,MBOAT7,MEFV,CD93,,CD63,,,
,PRTN3,RNASE3,HMGB2,EPCAM,HMGB2,,CHD1L,PIKFYVE,ARHGEF1,PFN2,CTSW,NR2E3,MKL1,MTMR3,CSF3R,,CHIT1,,,
,PTPN7,SERPINB10,HNRNPM,ERG,KIF22,,CMPK1,PWP1,CD27,PLCG1,DR1,NXT1,MNT,NDEL1,CYBB,,COX5B,,,
,PTPRC,TGM5,KARS,FBXO7,MCM10,,COL10A1,QRSL1,CD3D,POP5,GZMH,ONECUT1,PGLYRP1,NFYA,DENND1A,,CYP19A1,,,
,PTPRCAP,TNPO3,LDHB,FCER1A,MELK,,CRISP2,TCL1A,CD6,PSD,GZMM,PI4KB,PTTG2,NRBF2,FGR,,HEXB,,,
,RNASE2,TOR1A,MAP7D3,GSTM5,MINPP1,,DERA,TCL1B,CD7,RING1,NKG7,PRKACG,RGS13,PTEN,LILRB1,,LAIR1,,,
,S1PR4,TSGA10,MRPL20,KRT1,NEK2,,DNAI1,TNFRSF13B,CD96,SSTR3,PRKAG1,PRL,SETD1B,S100A12,MNDA,,LAMP1,,,
,TSPAN32,ZMYM4,MRPL3,LAPTM4B,NUSAP1,,EIF2AK1,TNFRSF17,CHMP7,TRAF3IP3,TNFSF11,SLC17A6,SLC19A1,SLC19A1,PADI4,,MS4A4A,,,
,,ZNF221,MS4A3,MECR,PCNA,,ENDOU,UTP6,DDX31,AAK1,,SLCO5A1,TACSTD2,TECPR2,RNASE2,,MYOZ1,,,
,,ZNF471,NOL7,MRPL28,POLE2,,FBXO9,ACTN2,FBXO21,CD7,,SMCP,TNFSF11,TMUB2,STAB1,,SIGLEC9,,,
,,ZNF701,NPM1,,PRG2,,GNAS,AFF2,FNBP4,CEPT1,,SSX3,ADAM18,TREML2,TLR7,,SLAMF8,,,
,,ATP8B4,PARK7,,PRMT3,,GNB3,AICDA,GPR171,DHX15,,SSX5,C3AR1,TRPM6,UBE2D1,,SLC6A12,,,
,,CDT1,PNN,,RRM1,,GP5,ARHGAP17,ITK,DIDO1,,TCL1A,CD101,UBE2B,ACAP2,,STX4,,,
,,FLT3,PSMA4,,SLC4A1,,GP6,ATF7IP,RAPGEF6,FNBP4,,TEX12,CDH19,UBN1,C3AR1,,ARHGEF11,,,
,,HDC,RAG2,,TOP2A,,GPR17,BTK,SLTM,FTO,,,CEACAM8,UBXN2B,CASP5,,BCAP31,,,
,,HIST1H4C,RNASE3,,TROAP,,GPR3,CNOT1,TRAF1,HNRNPA0,,,CUX2,WDFY3,CLEC10A,,CCL7,,,
,,NAT6,RPL5,,TUBG1,,HIST1H2BO,CNR1,ABCD2,IL16,,,FBXO40,WWP2,CLEC4A,,CD163,,,
,,PHF7,RYR3,,UBAC1,,HPCA,GDI2,ANKRD55,IRF3,,,KCNA5,,COMMD9,,CLCN7,,,
,,S100PBP,SERPINB10,,,,HSD17B3,GPR18,APBB1,KRT2,,,KIF5A,,CSF1R,,P2RX7,,,
,,TFCP2,SMC5,,,,HTATIP2,IFNW1,ARHGAP15,NKRF,,,LMTK2,,DPEP2,,PQLC2,,,
,,TRIM27,SRP9,,,,IGF2BP3,IL17A,ATXN7L1,NPAT,,,NPY2R,,F13A1,,SLC30A5,,,
,,ZNF324B,SSB,,,,IL5,INPP5B,CCR9,PRL,,,NXPH3,,HCK,,ABCD1,,,
,,ZNF629,STIL,,,,ITGA2B,ITSN2,CUBN,PURA,,,NYX,,HK3,,ADCY3,,,
,,ZZZ3,TEC,,,,KIF2A,KCNN3,MSL3,RAPGEF6,,,P2RY14,,HSPA6,,ARSB,,,
,,,TOP2B,,,,KLK14,KIAA1033,NOL9,RASA2,,,PLXNB3,,LILRA2,,ATOX1,,,
,,,TTC27,,,,KSR1,LSM6,OBSCN,RBM34,,,RASL12,,LILRB3,,ATP6V1E1,,,
,,,UBA2,,,,L1TD1,MGAT5,PHF3,RPL37A,,,TRIM48,,LST1,,CSF1,,,
